Group,Marker Icon,Marker Color,Icon Color,Custom Size,Label,Image,Description,Location,Latitude,Longitude
Community,fa-bee,green,white,40x40,1° de Março,media/calais.jpg,1° de Março,,-5.355439663,-48.78936768
Community,fa-bee,green,white,40x40,26 de Março,media/delaware.jpg,26 de Março,,-5.438841346,-49.0761657
Community,fa-bee,green,white,40x40,Belo Vale,media/ecg-logo.png,Belo Vale,,-5.37205209,-49.16482002
Community,fa-bee,green,white,40x41,Califórnia,media/icecream.jpg,Califórnia,,-4.96404122,-47.4761881
Community,fa-bee,green,white,40x42,Deus te Ama,media/coffee.png,Deus te Ama,,-4.793197794,-48.10942343
Community,fa-bee,green,white,40x43,Escada Alta,media/keywest.jpg,Escada Alta,,-5.5416409,-48.7291003
Community,fa-bee,green,white,40x44,Frei Henri,,Frei Henri,,-6.093433631,-49.7170776
Community,fa-bee,green,white,40x45,Limoeiro,,Limoeiro,,-3.21825695,-45.00251389
Community,fa-bee,green,white,40x46,Palmares II,,Palmares II,,-5.967139244,-49.85824203
Community,fa-bee,green,white,40x47,Palmeira Jussara,,Palmeira Jussara,,-5.352312151,-49.21868756
Community,fa-bee,green,white,40x48,Porto do Isidoro,,Porto do Isidoro,,-8.7069444,-46.55583333
Community,fa-bee,green,white,40x49,Praia Alta Piranheira,,Praia Alta Piranheira,,-4.922525406,-49.07497406
Community,fa-bee,green,white,40x50,Santo Antônio,,Santo Antônio,,,
Community,fa-bee,green,white,40x51,São João Batista,,São João Batista,,-1.955689198,-48.33430437
Community,fa-bee,green,white,40x52,Vista Alegre,,Vista Alegre,,-19.84567667,-44.37791428
